"","","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","","","","","",""
"","","","","","Type ","","","","","","","","","","","","","","","","","","","","","","","",""," Rp 2.993.792 ","","","","","","Hedge Fund Standard","","",""
"","Code","","Sectoral","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.400","","","","","","","","",""
"46","","ADRO"," Energy",""," Core Long"," Rp 35.542.862 ","  10.200 ","4,73%","  3.484,6 ","▼-Rp 8.308.862 ","▼-23,38%","▲ Rp 8.188.116 ","▼-Rp 8.308.862 "," Rp 27.406.623 ","  10.200 ","3,65%","2.687","▼-Rp 172.623 ","▼-0,63%"," Rp - ","▼-Rp 172.623 ","▲ Rp 8.136.239 ","  - ","▼-Rp 8.188.116 ","▲ Rp 8.136.239 ","2.670","  2.740 ","  1.625 ","▼-2,62%","30,65%"," Rp 1.252.656 ","  2.000 "," Rp 4.087.344 ","","▲ Rp 1.131.910 "," Energy / Commodity","▲ Rp 35.542.862 ","▼-Rp 8.308.862 ","▲ Rp 27.234.000 "
"51","","SIDO"," Healthcare",""," Swing Trade"," Rp 21.273.844 ","  33.000 ","2,83%","  645 ","▼-Rp 9.657.844 ","▼-45,40%","▲ Rp 450.245 ","▼-Rp 9.657.844 "," Rp 20.821.181 ","  33.000 ","2,77%","631","▼-Rp 9.205.181 ","▼-44,21%"," Rp - ","▼-Rp 9.205.181 ","▲ Rp 452.663 ","  - ","▼-Rp 450.245 ","▲ Rp 452.663 ","352","  585 ","  344 ","▼-66,19%","0,00%"," Rp -   ","  - "," Rp -   ","","▼-Rp 9.207.599 "," Consumer Defensive","▲ Rp 21.273.844 ","▼-Rp 9.657.844 ","▲ Rp 11.616.000 "
"53","","PGEO"," Infrastructures",""," Core Long"," Rp 125.189.937 ","  82.300 ","16,66%","  1.521 ","▼-Rp 40.420.937 ","▼-32,29%","▲ Rp 7.981.556 ","▼-Rp 40.420.937 "," Rp 117.354.354 ","  82.300 ","15,62%","1.426","▼-Rp 32.585.354 ","▼-27,77%"," Rp - ","▼-Rp 32.585.354 ","▲ Rp 7.835.583 ","  - ","▼-Rp 7.981.556 ","▲ Rp 7.835.583 ","1.030","  1.555 ","  770 ","▼-51,0%","3,16%"," Rp 47.309 ","  1.500 "," Rp 1.497.691 ","","▼-Rp 32.392.072 "," Energy / Commodity","▲ Rp 125.189.937 ","▼-Rp 40.420.937 ","▲ Rp 84.769.000 "
"62","","PMMP"," Consumer Non-Cyclicals"," Rp -   ","Fast Trade"," Rp 1.007.284 ","  3.800 ","0,13%","  265 ","▼-Rp 817.284 ","▼-81,14%","▲ Rp 17.252 ","▼-Rp 817.284 "," Rp 989.659 ","  3.800 ","0,13%","260","▼-Rp 799.659 ","▼-80,80%","▼-Rp 291.321 ","▼-Rp 799.659 ","▲ Rp 17.625 ","  - ","▼-Rp 308.574 ","▲ Rp 17.625 ","50","  50 ","  50 ","-","0,00%"," Rp -   ","  - "," Rp -   ","","▼-Rp 800.032 "," Fast Trading","▲ Rp 1.007.284 ","▼-Rp 817.284 ","▲ Rp 190.000 "
"64","","AADI"," Energy","","Fast Trade"," Rp 5.339.594 ","  500 ","0,71%","  10.679 ","▼-Rp 227.094 ","▼-4,25%","▲ Rp 7.294.639 ","▼-Rp 227.094 "," Rp 1.955.045 ","  500 ","0,26%","3.910","▲ Rp 3.157.455 ","▲161,50%"," Rp - ","▲ Rp 3.157.455 ","▲ Rp 3.384.549 ","  - ","▼-Rp 7.294.639 ","▲ Rp 3.384.549 ","10.225","  11.800 ","  6.700 ","▼-15,40%","13,41%"," Rp 120.880 ","  100 ","  901.620 ","","▲ Rp 7.188.425 "," Energy / Commodity","▲ Rp 5.339.594 ","▼-Rp 227.094 ","▲ Rp 5.112.500 "
"67","","BUMI"," Energy"," Rp -   "," Swing Trade"," Rp 18.682.368 ","  52.300 ","2,49%","  357 ","▼-Rp 8.745.368 ","▼-46,81%","▲ Rp 2.117.862 ","▼-Rp 8.745.368 "," Rp 16.444.154 ","  52.300 ","2,19%","314","▼-Rp 6.507.154 ","▼-39,57%"," Rp - ","▼-Rp 6.507.154 ","▲ Rp 2.238.213 ","  - ","▼-Rp 2.117.862 ","▲ Rp 2.238.213 ","190","  484 ","  103 ","▼-154,7%","0,00%"," Rp -   ","  - "," Rp -   ","","▼-Rp 6.627.506 "," Energy / Commodity","▲ Rp 18.682.368 ","▼-Rp 8.745.368 ","▲ Rp 9.937.000 "
"70","","SMDR"," Transportation & Logistic",""," Swing Trade"," Rp 31.180.236 ","  71.000 ","4,15%","  439 ","▼-Rp 9.028.236 ","▼-28,95%","▲ Rp 3.104.149 ","▼-Rp 9.028.236 "," Rp 28.057.533 ","  71.000 ","3,73%","395","▼-Rp 5.905.533 ","▼-21,05%"," Rp - ","▼-Rp 5.905.533 ","▲ Rp 3.122.703 ","  - ","▼-Rp 3.104.149 ","▲ Rp 3.122.703 ","312","  474 ","  250 ","▼-51,92%","4,49%"," Rp 26.808 ","  2.000 "," Rp 597.192 ","","▼-Rp 5.897.279 "," Growth Swing","▲ Rp 31.180.236 ","▼-Rp 9.028.236 ","▲ Rp 22.152.000 "
"74","","CDIA"," Infrastructures",""," Core Long"," Rp 38.608.062 ","  19.800 ","5,14%","  1.950 ","▼-Rp 25.144.062 ","▼-65,13%","▲ Rp 1.827.438 ","▼-Rp 25.144.062 "," Rp 36.804.194 ","  19.800 ","4,90%","1.859","▼-Rp 23.340.194 ","▼-63,42%"," Rp - ","▲ Rp 1.805.806 ","▲ Rp 1.803.868 ","  - ","▼-Rp 1.827.438 ","▲ Rp 26.949.868 ","680","  2.450 ","  540 ","▼-260,3%","0,00%"," Rp -   ","  - "," Rp -   ","","▼-Rp 23.316.624 "," Growth Swing","▲ Rp 38.608.062 ","▼-Rp 25.144.062 ","▲ Rp 13.464.000 "
"76","","RAJA"," Energy"," Rp -   "," Swing Trade"," Rp 23.053.923 ","  21.500 ","3,07%","  1.072 ","▼-Rp 5.638.923 ","▼-24,46%","▲ Rp 4.374.296 ","▼-Rp 5.638.923 "," Rp 18.715.257 ","  21.500 ","2,49%","870","▼-Rp 1.300.257 ","▼-6,95%"," Rp - ","▼-Rp 1.300.257 ","▲ Rp 4.338.666 ","  - ","▼-Rp 4.374.296 ","▲ Rp 4.338.666 ","810","  1.695 ","  480 ","▼-109,26%","2,50%"," Rp 138.060 ","  7.000 "," Rp 5.531.940 ","","▼-Rp 1.126.567 "," Fast Trading","▲ Rp 23.053.923 ","▼-Rp 5.638.923 ","▲ Rp 17.415.000 "
"77","","ADMR"," Energy"," Rp -   "," Core Long"," Rp 41.854.202 ","  20.300 ","5,57%","  2.062 ","▼-Rp 7.141.202 ","▼-17,06%","▲ Rp 14.222.527 ","▼-Rp 7.141.202 "," Rp 27.631.675 ","  20.300 ","3,68%","1.361","▲ Rp 7.081.325 ","▲25,63%"," Rp - ","▲ Rp 7.081.325 ","▲ Rp 14.222.527 ","  - ","▼-Rp 14.222.527 ","▲ Rp 14.222.527 ","1.710","  2.320 ","  945 ","▼-35,67%","12,35%"," Rp 244.445 ","  1.300 "," Rp 1.978.555 ","","▲ Rp 7.325.770 "," Growth Swing","▲ Rp 41.854.202 ","▼-Rp 7.141.202 ","▲ Rp 34.713.000 "
"78","","DEWA"," Energy"," Rp -   "," Swing Trade"," Rp 6.398.196 ","  13.500 ","0,85%","  474 ","▼-Rp 458.196 ","▼-7,16%","▼-Rp 3.452.918 ","▼-Rp 458.196 "," Rp 9.851.114 ","  13.500 ","1,31%","730","▼-Rp 3.911.114 ","▼-39,70%"," Rp - ","▼-Rp 3.911.114 ","▼-Rp 3.452.918 ","  - ","▲ Rp 3.452.918 ","▼-Rp 3.452.918 ","440","  865 ","  210 ","▼-96,59%","13,20%"," Rp 256.508 ","  5.000 "," Rp 1.943.492,00 ","","▼-Rp 3.654.606 "," Energy / Commodity","▲ Rp 6.398.196 ","▼-Rp 458.196 ","▲ Rp 5.940.000 "
"81","","PTRO"," Energy"," Rp -   "," Fast Trade"," Rp -   ","  -   ","0,00%","  - ","","","▲ Rp 542.980 "," Rp - "," Rp -   ","  - ","0,00%","0","","","▲ Rp 597.235 "," Rp - "," Rp - ","  - ","▲ Rp 54.255 "," Rp - ","4.990","  13.000 ","  3.170 ","▼-160,52%","0,00%"," Rp -   ","  - "," Rp -   ","","▲ Rp 542.980 "," Energy / Commodity"," Rp - ","",""
"82","","MBMA"," Basic Materials"," Rp -   "," Swing Trade"," Rp 7.248.969 ","  9.200 ","0,96%","  788 ","▼-Rp 2.142.969 ","▼-29,56%","▲ Rp 2.193.419 ","▼-Rp 2.142.969 "," Rp 4.996.779 ","  9.200 ","0,66%","543","▲ Rp 109.221 ","▲2,19%"," Rp - ","▲ Rp 109.221 ","▲ Rp 2.252.190 ","  - ","▼-Rp 2.193.419 ","▲ Rp 2.252.190 ","555","  945 ","  396 ","▼-70,27%","12,12%"," Rp 30.006 ","  500 "," Rp 247.494,00 ","","▲ Rp 80.456 "," Energy / Commodity","▲ Rp 7.248.969 ","▼-Rp 2.142.969 ","▲ Rp 5.106.000 "
"85","","WIFI"," Consumer Cyclicals"," Rp -   "," Swing Trade"," Rp 19.415.886 ","  5.700 ","2,58%","  3.406 ","▼-Rp 7.901.886 ","▼-40,70%","▲ Rp 618.550 ","▼-Rp 7.901.886 "," Rp 18.797.336 ","  5.700 ","2,50%","3.298","▼-Rp 7.283.336 ","▼-38,75%"," Rp - ","▼-Rp 7.283.336 ","▲ Rp 618.550 ","  - ","▼-Rp 618.550 ","▲ Rp 618.550 ","2.020","  4.420 ","  1.270 ","▼-118,81%","0,00%"," Rp -   ","  - "," Rp -   ","","▼-Rp 7.283.336 "," Growth Swing","▲ Rp 19.415.886 ","▼-Rp 7.901.886 ","▲ Rp 11.514.000 "
"90","","ARCI"," Basic Materials"," Rp -   "," Swing Trade"," Rp 44.610.655 ","  23.600 ","5,94%","  1.890 ","▼-Rp 11.806.655 ","▼-26,47%","▲ Rp 517.763 ","▼-Rp 11.806.655 "," Rp 44.103.912 ","  23.600 ","5,87%","1.869","▼-Rp 11.299.912 ","▼-25,62%"," Rp - ","▼-Rp 11.299.912 "," Rp - ","  - ","▼-Rp 517.763 ","▲ Rp 506.743 ","1.390","  2.120 ","  700 ","▼-52,52%","26,78%"," Rp 528.454 ","  1.800 "," Rp 1.973.546 ","","▼-Rp 10.760.438 "," Growth Swing","▲ Rp 44.610.655 ","▼-Rp 11.806.655 ","▲ Rp 32.804.000 "
