"","","3","4","5","6","7","8","9","10","11","12","13","14","16","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120"
"Initial rate of return","EPS (Annualized)/Current Price","2,76%","25,82%","29,80%","4,69%","6,71%","18,56%","7,78%","24,75%","14,79%","4,32%","18,95%","18,90%","385,31%","39,25%","22,28%","4,18%","14,88%","16,98%","7,33%","20,49%","7,15%","9,16%","21,30%","31,37%","25,16%","1,66%","17,96%","5,39%","8,87%","13,72%","21,99%","13,99%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","7,33%","51,13%","0,00%","0,00%","0,00%","11,34%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Status","IF(B12>B1;""Pass"";""Not Pass"")","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"STEP 2 - Hitung percentage average ROE after payout (min 5 years) ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Average ROE (5 Years)","AVERAGE(B15:B19)","23,29%","28,22%","14,39%","11,08%","138,09%","16,14%","80,73%","7,55%","27,07%","6,18%","25,75%","13,17%","18,60%","18,60%","13,77%","57,67%","19,74%","15,98%","7,27%","11,55%","16,39%","17,67%","14,65%","10,94%","10,32%","16,25%","7,47%","44,18%","43,59%","29,02%","-5,39%","12,49%","","","","","","","4,06%","3,76%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ROE 2016","Rumus ke LK--> Year N","27,64%","19,18%","13,08%","7,69%","135,86%","10,26%","0,00%","9,73%","17,44%","0,35%","28,42%","16,87%","9,00%","9,00%","14,26%","9,57%","0,00%","17,86%","0,00%","12,78%","11,98%","18,30%","9,55%","3,55%","13,69%","19,83%","4,58%","15,72%","10,46%","12,97%","21,00%","19,63%","11,99%","7,19%","-1731,40%","1,05%","8,19%","0,07%","1,77%","9,00%","204,66%","23,17%","11,03%","","14,83%","7,41%","","6,49%","4,17%","23,16%","19,32%","26,29%","","8,37%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ROE 2017","Rumus ke LK--> Year N+1","29,16%","32,95%","14,77%","9,36%","135,41%","9,38%","0,00%","4,64%","18,44%","0,74%","29,57%","18,38%","13,11%","13,11%","14,83%","65,55%","29,71%","17,36%","0,00%","13,65%","16,14%","17,75%","12,61%","3,76%","13,97%","17,59%","5,09%","15,90%","49,14%","144,52%","9,40%","17,43%","10,90%","12,84%","22750,29%","-0,84%","6,60%","1,05%","1,73%","8,79%","395,38%","11,31%","11,41%","3,88%","6,71%","6,37%","","8,25%","6,39%","222,51%","13,88%","19,13%","","17,70%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ROE 2018","Rumus ke LK--> Year N+2","23,00%","31,48%","15,70%","18,42%","120,20%","6,90%","0,00%","11,39%","22,87%","4,43%","27,39%","17,27%","11,10%","11,10%","14,87%","77,33%","24,14%","17,50%","15,59%","13,67%","20,15%","17,04%","13,98%","2,41%","11,78%","14,81%","6,05%","23,47%","11,10%","16,09%","-2,05%","20,52%","9,94%","15,60%","13708,49%","3,21%","7,83%","16,10%","-17,97%","-17,18%","405,08%","20,93%","10,08%","2,13%","9,43%","7,63%","15,12%","13,43%","7,44%","23,34%","8,96%","1,03%","23,54%","5,62%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ROE 2019","Rumus ke LK--> Year N+3","23,53%","21,93%","14,25%","6,55%","139,97%","20,55%","100,91%","3,49%","26,36%","1,07%","26,86%","21,36%","9,71%","9,71%","14,99%","37,83%","25,96%","16,48%","6,38%","12,41%","18,22%","16,41%","13,61%","-24,40%","0,88%","16,50%","7,01%","17,24%","16,55%","6,98%","-1,00%","2,01%","10,89%","6,85%","13213,50%","2,96%","7,22%","0,19%","3,73%","1,19%","198,09%","15,84%","8,95%","1,45%","7,00%","6,49%","22,97%","15,79%","6,72%","21,90%","0,50%","13,44%","22,73%","0,93%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ROE 2020","Rumus ke LK--> Year N+4","24,45%","14,22%","9,50%","11,80%","145,11%","24,40%","87,33%","-7,30%","28,99%","6,03%","28,02%","13,07%","4,01%","4,01%","14,88%","39,98%","14,54%","9,33%","7,37%","2,94%","8,92%","14,70%","8,62%","-0,95%","8,01%","16,73%","-0,34%","164,71%","14,25%","9,11%","-146,12%","14,74%","11,06%","6,92%","5130,17%","4,10%","7,85%","-10,77%","1,94%","-4,88%","59,23%","8,78%","-0,17%","4,56%","7,50%","2,71%","13,38%","-9,00%","6,52%","13,68%","0,50%","2,85%","24,25%","1,41%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ROE 2021","Rumus ke LK--> Year N+5","23,35%","33,14%","11,87%","17,30%","133,26%","13,36%","89,66%","11,10%","36,33%","8,94%","28,59%","9,45%","23,07%","23,07%","13,96%","67,95%","20,65%","10,54%","4,10%","8,68%","14,77%","15,50%","13,75%","36,43%","11,10%","22,99%","5,36%","143,90%","221,25%","10,05%","5,09%","0,14%","12,93%","11,05%","4286,48%","7,69%","10,77%","4,77%","6,41%","6,66%","744,30%","16,26%","341,57%","12,11%","4,94%","48,98%","7,12%","6,91%","13,76%","12,64%","6,93%","5,18%","15,24%","4,29%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ROE 2022","Rumus ke LK--> Year N+6","18,54%","44,19%","16,58%","14,95%","134,23%","21,28%","100,66%","11,66%","31,53%","16,11%","24,23%","4,81%","43,37%","43,37%","13,48%","115,35%","21,17%","16,94%","5,28%","13,18%","25,69%","18,43%","17,82%","50,59%","11,75%","17,84%","11,29%","1,11%","25,34%","18,84%","31,56%","9,96%","9,82%","1,53%","3202,31%","8,51%","9,53%","42,03%","4,35%","1,70%","18,78%","10,92%","9,07%","1,27%","5,29%","65,70%","26,15%","25,75%","6,78%","11,36%","0,87%","-53,17%","0,15%","6,98%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ROE 2023","Rumus ke LK--> Year N+7","20,57%","29,18%","17,77%","10,54%","142,00%","20,60%","98,10%","10,64%","28,09%","9,88%","20,01%","8,75%","25,04%","25,04%","12,10%","64,66%","12,32%","19,09%","5,91%","13,64%","26,33%","20,06%","20,89%","16,04%","11,49%","15,09%","13,84%","8,58%","22,18%","21,92%","17,05%","13,63%","11,44%","6,86%","203,87%","10,70%","8,44%","9,38%","4,84%","14,17%","782,35%","6,68%","17,34%","14,72%","4,80%","8,60%","23,55%","18,89%","11,09%","12,35%","0,24%","-1,05%","16,56%","5,48%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ROE 2024","Rumus ke LK--> Year N+8","19,33%","27,76%","15,99%","3,12%","156,77%","18,50%","7,74%","12,57%","33,57%","8,09%","18,62%","8,61%","28,97%","28,97%","10,57%","40,77%","9,40%","18,69%","6,29%","12,96%","5,32%","20,87%","21,03%","10,99%","10,22%","4,91%","14,34%","7,01%","22,07%","20,70%","16,57%","14,37%","","","","","","","29,70%","14,38%","","","","15,55%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ROE 2025","Rumus ke LK--> Year N+8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Average DPR (5 Years)","AVERAGE(B22:B26)","47,90%","92,31%","33,95%","34,28%","110,34%","119,09%","18,09%","44,26%","83,51%","28,90%","35,04%","70,97%","40,72%","40,72%","52,41%","198,94%","41,52%","74,98%","66,32%","38,14%","93,73%","61,51%","49,57%","343,84%","48,81%","104,55%","-53,07%","105,42%","28,92%","54,40%","12,09%","440,45%","29,86%","8,19%","","15,04%","11,33%","11,95%","29,25%","409,69%","242,06%","39,87%","21,15%","8,45%","47,11%","20,16%","","26,55%","12,47%","47,27%","","676,36%","67,87%","7,23%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DPR 2016","Rumus ke LK--> Year N","30,91%","36,95%","47,78%","22,14%","90,50%","76,30%","0,00%","84,69%","74,84%","0,00%","0,00%","23,07%","21,56%","21,56%","60,86%","0,00%","0,00%","27,73%","0,00%","23,63%","58,17%","18,28%","33,91%","870,31%","8,54%","403,63%","57,88%","13,27%","28,87%","49,85%","2,16%","71,30%","36,68%","5,02%","0,00%","0,00%","13,50%","0,00%","0,00%","0,00%","89,89%","0,00%","29,08%","0,00%","49,09%","47,69%","0,00%","0,00%","0,00%","38,87%","0,00%","1,50%","0,00%","14,17%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%"
"DPR 2017","Rumus ke LK--> Year N+1","35,15%","73,41%","29,42%","16,71%","87,03%","80,70%","0,00%","110,58%","70,22%","0,00%","0,00%","64,51%","13,93%","13,93%","55,56%","0,00%","0,00%","132,36%","0,00%","16,59%","28,34%","18,50%","56,90%","797,79%","12,23%","51,31%","22,87%","19,04%","70,04%","27,69%","0,00%","84,26%","28,94%","2,44%","0,00%","0,00%","14,55%","0,00%","0,00%","0,00%","16,33%","15,45%","14,95%","0,00%","88,53%","13,56%","0,00%","0,00%","0,00%","33,82%","0,00%","73,11%","0,00%","1,86%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%"
"DPR 2018","Rumus ke LK--> Year N+2","43,10%","64,23%","24,85%","6,52%","72,87%","208,92%","0,00%","34,52%","58,73%","0,00%","45,73%","64,19%","19,71%","19,71%","51,88%","0,00%","0,00%","163,08%","0,00%","26,30%","21,90%","20,03%","48,07%","1530,43%","18,65%","75,07%","27,60%","20,18%","27,05%","37,71%","0,00%","38,55%","41,58%","1,93%","0,00%","0,00%","6,76%","0,00%","0,00%","-18,55%","73,67%","26,02%","27,84%","0,00%","58,61%","10,44%","0,00%","50,98%","0,00%","28,94%","0,00%","4334,02%","0,00%","5,65%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%"
