"","","3","4","5","6","7","8","9","10","11","12","13","14","16","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120"
"DPR 2019","Rumus ke LK--> Year N+3","60,19%","90,83%","28,89%","33,80%","94,43%","23,47%","0,00%","48,78%","81,68%","24,65%","40,59%","45,98%","57,03%","57,03%","48,05%","64,15%","0,00%","38,26%","0,00%","30,73%","42,14%","22,44%","32,64%","-7,83%","289,73%","0,00%","28,32%","25,28%","21,04%","125,64%","0,00%","478,66%","44,92%","14,34%","0,00%","0,00%","13,72%","0,00%","0,00%","243,36%","209,41%","62,24%","21,22%","0,00%","33,98%","11,77%","0,00%","57,04%","0,00%","38,20%","0,00%","351,52%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%"
"DPR 2020","Rumus ke LK--> Year N+4","54,89%","162,49%","46,02%","21,61%","128,34%","150,06%","0,00%","-46,05%","138,12%","26,65%","8,41%","65,41%","129,38%","129,38%","45,99%","88,48%","0,00%","86,69%","0,00%","113,03%","81,86%","32,24%","63,79%","-163,76%","35,06%","27,78%","-697,59%","50,31%","10,08%","75,12%","0,00%","21,53%","17,16%","13,38%","0,00%","0,00%","13,52%","0,00%","0,00%","0,00%","590,74%","58,52%","0,00%","4,39%","46,06%","29,32%","0,00%","-28,38%","9,97%","66,28%","0,00%","64,92%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%"
"DPR 2021","Rumus ke LK--> Year N+5","44,96%","46,80%","29,11%","0,00%","128,54%","310,09%","0,00%","19,36%","29,74%","3,64%","35,30%","0,00%","23,83%","23,83%","47,52%","5,44%","23,66%","82,89%","0,00%","35,04%","34,32%","216,83%","53,97%","1,32%","0,88%","21,97%","31,88%","36,70%","40,54%","35,37%","0,00%","3173,81%","21,79%","3,64%","0,00%","0,00%","7,10%","0,00%","16,62%","0,00%","14,60%","11,01%","12,67%","0,00%","11,30%","0,00%","0,00%","0,00%","0,00%","44,03%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%"
"DPR 2022","Rumus ke LK--> Year N+6","60,13%","6,73%","13,22%","20,44%","118,04%","73,21%","0,00%","0,00%","92,85%","10,53%","40,85%","179,95%","4,80%","4,80%","47,54%","119,48%","14,28%","29,16%","0,00%","4,44%","13,11%","138,23%","22,87%","0,64%","0,00%","46,88%","8,67%","626,82%","13,29%","21,86%","0,00%","43,82%","26,55%","20,46%","0,00%","15,04%","7,87%","0,00%","30,27%","1769,08%","836,87%","31,46%","0,00%","0,00%","44,69%","0,00%","0,00%","0,00%","9,29%","81,81%","0,00%","-63,85%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%"
"DPR 2023","Rumus ke LK--> Year N+7","46,13%","126,05%","25,65%","42,43%","121,58%","69,65%","0,00%","51,87%","114,20%","30,25%","37,21%","81,30%","33,68%","33,68%","53,23%","736,22%","44,01%","43,71%","48,09%","25,85%","29,04%","39,27%","56,05%","19,29%","6,79%","51,49%","14,84%","76,40%","22,39%","27,39%","16,82%","29,62%","21,24%","4,31%","0,00%","0,00%","13,59%","11,95%","42,52%","28,22%","104,99%","74,38%","0,00%","14,89%","44,60%","8,18%","0,00%","0,00%","18,15%","46,22%","0,00%","-26,73%","67,87%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%"
"DPR 2024","Rumus ke LK--> Year N+8","55,64%","223,28%","60,60%","110,60%","151,74%","79,43%","18,09%","50,32%","91,20%","77,69%","37,18%","43,36%","62,60%","62,60%","61,09%","179,86%","84,13%","70,94%","84,54%","67,61%","534,67%","47,76%","77,97%","46,32%","18,62%","158,29%","27,95%","80,78%","26,98%","89,01%","17,30%","22,54%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","27,56%","26,36%","0,00%","0,00%","0,00%","6,08%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%"
"DPR 2025","Rumus ke LK--> Year N+8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Percentage average ROE after payout","Avg ROE (5 Years) x (1-Avg DPR (5 Years))","12,13%","2,17%","9,51%","7,28%","-14,28%","-3,08%","66,13%","4,21%","4,46%","4,40%","16,72%","3,82%","11,02%","11,02%","6,55%","-57,06%","11,54%","4,00%","2,45%","7,14%","1,03%","6,80%","7,39%","-26,67%","5,28%","-0,74%","11,43%","-2,39%","30,99%","13,23%","-4,74%","-42,53%","","","","","","","2,87%","-11,64%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"STEP 3 - Buat proyeksi equity/share untuk 5 tahun kedepan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Equity / Share","B8/B7"," Rp 1.558,12 "," Rp 1.765,35 "," Rp 6.706,33 "," Rp 550,72 "," Rp 56,33 "," Rp 149,69 "," Rp 776,50 "," Rp 2.230,31 "," Rp 116,27 "," Rp 1.264,17 "," Rp 348,08 "," Rp 32.147,70 "," Rp 2.712,97 "," Rp 2.712,97 "," Rp 822,22 "," Rp 1.121,55 "," Rp 1.169,44 "," Rp 2.173,89 "," Rp 402,14 "," Rp 4.482,55 "," Rp 24.228,88 "," Rp 2.132,10 "," Rp 3.228,61 "," Rp 667,88 "," Rp 2.280,67 "," Rp 475,91 "," Rp 3.194,16 "," Rp 1.764,79 "," Rp 404,04 "," Rp 678,36 "," Rp 1.353,11 "," Rp 5.806,43 ","","","","","",""," Rp 513,01 "," Rp 6.745,02 ","","",""," Rp 976,43 "," Rp -  ,00 "," Rp -  ,00 "," Rp -  ,00 "," Rp -  ,00 "," Rp -  ,00 "," Rp -  ,00 "," Rp -  ,00 "," Rp -  ,00 "," Rp -  ,00 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Future Equity per share after N years","B33 x (1+B29) ^ Jumlah Tahun"," Rp 4.367,16 "," Rp 2.141,86 "," Rp 15.185,05 "," Rp 1.036,73 "," Rp 14,08 "," Rp 112,95 "," Rp 2.142,94 "," Rp 3.231,62 "," Rp 172,24 "," Rp 1.861,94 "," Rp 1.400,03 "," Rp 45.065,06 "," Rp 6.953,23 "," Rp 6.953,23 "," Rp 1.455,77 "," Rp 0,56 "," Rp 3.125,51 "," Rp 3.093,57 "," Rp 500,03 "," Rp 8.340,60 "," Rp 26.564,68 "," Rp 3.855,05 "," Rp 6.132,36 "," Rp 40,96 "," Rp 3.624,91 "," Rp 445,14 "," Rp 8.463,10 "," Rp 1.418,90 "," Rp 4.586,21 "," Rp 2.075,77 "," Rp 874,40 "," Rp 39,71 ","","","","","",""," Rp 661,81 "," Rp 2.214,50 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"STEP 4 - Konversikan proyeksi equity/share menjadi future EPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Future EPS","B35 x B17"," Rp 1.017,00 "," Rp 604,53 "," Rp 2.185,38 "," Rp 114,87 "," Rp 19,44 "," Rp 18,23 "," Rp 1.730,04 "," Rp 243,87 "," Rp 46,62 "," Rp 115,12 "," Rp 360,44 "," Rp 5.936,81 "," Rp 1.293,13 "," Rp 1.293,13 "," Rp 200,47 "," Rp 0,32 "," Rp 616,88 "," Rp 494,29 "," Rp 36,38 "," Rp 963,01 "," Rp 4.354,14 "," Rp 681,26 "," Rp 898,51 "," Rp 4,48 "," Rp 374,13 "," Rp 72,36 "," Rp 632,22 "," Rp 626,89 "," Rp 1.999,30 "," Rp 602,39 ","-Rp 47,10 "," Rp 4,96 ","","","","","",""," Rp 26,85 "," Rp 83,23 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"STEP 5 - Hitung future stock price","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Average PER 5 years","AVERAGE(B46:B50)","22,05","7,78","12,81","9,15","37,53","19,15","19,06","13,75","19,21","75,17","16,02","14,03","8,19","8,19","7,47","520,65","13,59","16,13","35,56","9,41","11,45","25,13","14,00","2,19","17,91","53,54","273,28","28,65","43,09","15,63","-2,07","21,25","11,95","7,01","6,72","141,61","15,79","88,21","39,80","7,92","8,62","12,38","20,81","35,88","22,40","35,22","569,93","17,61","31,54","24,77","427,98","-11,41","28,89","22,55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PER 2016","100%","20,73","14,36","22,10","6,60","46,32","14,64","0,00","16,01","16,23","331,48","12,02","18,41","12,06","12,06","8,28","51,76","0,00","10,99","0,00","9,09","15,85","18,55","19,56","5,58","7,04","53,78","23,63","22,82","43,13","23,69","1,69","27,78","16,79","1,92","-185,16","1093,02","23,89","471,81","65,76","31,72","10,86","8,04","16,60","0,00","12,04","59,44","","43,00","49,16","20,15","5,80","15,28","","18,81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PER 2017","100%","20,21","6,33","17,83","6,28","60,89","12,55","0,00","21,88","15,34","110,04","19,43","20,80","9,09","9,09","9,17","8,15","0,00","15,48","0,00","13,56","17,84","23,16","18,09","9,74","12,49","38,74","18,01","19,70","84,37","21,17","8,91","27,34","16,11","5,28","12,57","-138,81","24,59","68,57","84,31","22,96","6,83","14,87","21,11","0,00","29,16","36,49","","30,75","21,68","25,47","19,72","22,49","","6,65","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PER 2018","100%","20,60","9,86","15,36","8,26","38,03","15,44","0,00","11,64","18,98","21,02","16,00","20,65","6,42","6,42","8,20","9,14","14,33","13,95","0,00","10,93","9,17","24,79","13,76","9,61","9,58","37,35","11,60","26,01","59,71","10,47","-15,98","26,63","15,70","7,42","19,18","36,97","15,81","7,68","-6,42","-3,81","6,03","11,63","14,10","47,86","22,15","25,08","29,84","18,16","20,91","26,49","40,65","36,45","0,00","18,67","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PER 2019","100%","21,07","7,55","12,92","19,41","43,35","10,69","0,00","55,99","23,70","104,09","17,53","9,37","8,85","8,85","7,47","17,07","23,39","15,79","0,00","9,52","7,10","28,85","13,03","-1,56","107,29","52,10","8,08","29,33","32,85","22,11","-39,63","25,81","14,18","11,05","23,80","45,33","16,67","104,69","47,25","10,08","7,21","10,20","17,02","43,31","29,76","27,28","21,79","18,76","21,11","25,20","219,16","527,58","0,00","8,65","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PER 2020","100%","15,76","13,56","15,09","11,47","39,14","88,00","0,00","-10,90","25,86","40,46","17,27","10,32","22,39","22,39","6,86","11,29","3,38","27,57","0,00","3,51","16,53","30,76","17,24","-20,03","1,14","46,21","2372,34","27,85","31,30","13,80","-5,64","16,95","9,32","13,95","105,74","44,01","13,84","-12,37","78,65","-38,29","28,52","18,74","67,07","89,82","26,39","62,55","3328,77","-23,68","28,63","40,12","174,33","205,75","0,00","92,04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PER 2021","100%","16,16","3,95","11,43","9,45","27,23","12,88","0,00","7,68","20,58","29,04","16,75","10,50","5,40","5,40","7,39","5,10","18,83","20,05","50,18","11,55","8,04","28,64","11,70","2,45","7,71","26,20","9,11","26,95","25,86","14,84","17,45","15,88","7,27","5,70","172,66","19,64","10,37","41,60","26,40","4,99","3,39","9,97","17,48","24,17","21,01","42,58","28,13","26,85","22,75","31,78","51,44","72,99","39,94","15,86","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PER 2022","100%","17,90","3,38","7,97","6,17","33,42","6,29","0,00","8,39","20,51","12,48","16,30","12,46","3,17","3,17","6,91","20,61","12,08","14,63","37,44","9,39","4,63","25,87","11,25","1,91","4,69","45,09","5,30","31,64","38,54","11,69","3,08","25,42","9,29","3,57","109,05","22,58","9,37","6,62","25,32","10,54","2,36","10,70","7,87","13,97","18,77","15,97","9,34","11,37","59,90","12,80","2603,45","-95,36","27,86","8,00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PER 2023","100%","15,93","4,60","6,76","8,23","28,05","6,49","19,18","6,38","16,57","13,31","15,52","7,34","3,00","3,00","6,38","34,69","12,05","14,44","29,30","9,59","4,09","23,82","10,26","4,55","5,01","44,32","6,17","35,54","35,74","10,65","5,69","7,64","6,95","7,17","-204,08","10,11","11,75","17,09","20,66","16,77","3,75","14,88","5,20","14,07","19,91","12,39","1,68","15,69","28,18","16,17","309,30","-876,46","18,86","11,75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PER 2024","133%","50,08","6,39","5,83","6,45","21,35","5,38","18,94","6,68","15,12","14,63","13,32","16,45","3,35","3,35","6,56","4528,00","11,05","12,26","25,32","7,56","19,83","21,75","11,14","7,48","6,22","138,03","5,29","37,97","36,33","12,25","5,79","17,79","","","","","","","16,24","16,29","","","","17,97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PER 2025","400%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Future Stock Price","IF(B45="""";(B41*B9);IF(B9<B45;(B41*B9);(B41*B45)))"," Rp 22.423,72 "," Rp 3.862,95 "," Rp 12.740,75 "," Rp 740,94 "," Rp 415,04 "," Rp 98,06 "," Rp 32.766,99 "," Rp 1.629,03 "," Rp 704,95 "," Rp 1.684,28 "," Rp 4.801,06 "," Rp 83.313,22 "," Rp 4.331,98 "," Rp 4.331,98 "," Rp 1.315,11 "," Rp 167,30 "," Rp 6.816,48 "," Rp 6.059,99 "," Rp 921,02 "," Rp 7.280,33 "," Rp 49.869,47 "," Rp 14.817,43 "," Rp 10.009,36 "," Rp 9,82 "," Rp 2.327,12 "," Rp 3.873,58 "," Rp 3.344,42 "," Rp 17.957,73 "," Rp 72.634,72 "," Rp 7.379,27 "," Rp 97,56 "," Rp 88,25 ","","","","","",""," Rp 436,02 "," Rp 658,94 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"STEP 6 - Hitung future stock price plus dividen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Growth EPS","POWER((B41/B6);(1/5))-1","▲10,87%","▼-0,86%","▲4,82%","▲19,62%","▼-18,14%","▼-7,55%","▲40,69%","▼-4,63%","▼-1,21%","▼-1,87%","▲17,19%","▲5,43%","▲2,36%","▲2,36%","▲6,28%","▼-56,77%","▲17,31%","▼-1,01%","▲0,85%","▲2,45%","▲10,89%","▲1,55%","▼-0,08%","▼-29,01%","▲2,08%","▲9,81%","▲0,39%","▲15,98%","▲36,83%","▲13,86%","▼-181,44%","▼-45,20%","","","","","","","▼-20,14%","▼-26,28%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Future EPS 5 years","B6*(1+B56)^5"," Rp 1.017,00 "," Rp 604,53 "," Rp 2.185,38 "," Rp 114,87 "," Rp 19,44 "," Rp 18,23 "," Rp 1.730,04 "," Rp 243,87 "," Rp 46,62 "," Rp 115,12 "," Rp 360,44 "," Rp 5.936,81 "," Rp 1.293,13 "," Rp 1.293,13 "," Rp 200,47 "," Rp 0,32 "," Rp 616,88 "," Rp 494,29 "," Rp 36,38 "," Rp 963,01 "," Rp 4.354,14 "," Rp 681,26 "," Rp 898,51 "," Rp 4,48 "," Rp 374,13 "," Rp 72,36 "," Rp 632,22 "," Rp 626,89 "," Rp 1.999,30 "," Rp 602,39 ","-Rp 47,10 "," Rp 4,96 ","","","","","",""," Rp 26,85 "," Rp 83,23 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Total EPS 5 years","sum(B61:B65) Rubah Rumus nya $"," Rp 2.711,59 "," Rp 5.120,37 "," Rp 6.617,95 "," Rp 1.384,29 "," Rp 5.363,12 "," Rp 188,26 "," Rp 254,90 "," Rp 1.405,52 "," Rp 346,53 "," Rp 567,56 "," Rp 1.495,77 "," Rp 31.071,86 "," Rp 4.365,01 "," Rp 4.365,01 "," Rp 810,25 "," Rp 13.686,72 "," Rp 1.186,11 "," Rp 3.338,85 "," Rp 593,86 "," Rp 5.895,84 "," Rp 27.231,72 "," Rp 6.516,44 "," Rp 5.569,46 "," Rp 2.613,77 "," Rp 2.044,87 "," Rp 529,56 "," Rp 1.829,98 "," Rp 1.525,25 "," Rp 380,14 "," Rp 2.592,33 "," Rp 1.537,47 "," Rp 3.754,27 "," Rp 7.046,58 "," Rp 7.301,61 "," Rp 483,16 "," Rp 1.245,03 "," Rp 668,02 "," Rp 302,87 "," Rp 360,85 "," Rp 2.078,97 "," Rp 22.922,76 "," Rp 1.115,23 "," Rp 2.467,53 "," Rp 427,58 "," Rp 3.645,10 "," Rp 351,22 "," Rp 1.485,05 "," Rp 741,75 "," Rp 314,35 "," Rp 370,90 "," Rp 1.063,80 "," Rp 1.506,29 "," Rp 100,48 "," Rp 829,00 "," Rp -  ,00 "," Rp -  ,00 "," Rp -  ,00 "," Rp -  ,00 "," Rp -  ,00 "," Rp -  ,00 "," Rp -  ,00 "," Rp -  ,00 "," Rp -  ,00 "," Rp -  ,00 "," Rp -  ,00 "," Rp -  ,00 "," Rp -  ,00 "," Rp -  ,00 "," Rp -  ,00 "," Rp -  ,00 "," Rp -  ,00 "," Rp -  ,00 "," Rp -  ,00 "," Rp -  ,00 "," Rp -  ,00 "," Rp -  ,00 "," Rp -  ,00 "," Rp -  ,00 "," Rp -  ,00 "," Rp -  ,00 "," Rp -  ,00 "," Rp -  ,00 "," Rp -  ,00 "," Rp -  ,00 "," Rp -  ,00 "," Rp -  ,00 "," Rp -  ,00 "," Rp -  ,00 "," Rp -  ,00 "," Rp -  ,00 "," Rp -  ,00 "," Rp -  ,00 "," Rp -  ,00 "," Rp -  ,00 "," Rp -  ,00 "," Rp -  ,00 "," Rp -  ,00 "," Rp -  ,00 "," Rp -  ,00 "," Rp -  ,00 "," Rp -  ,00 "," Rp -  ,00 "," Rp -  ,00 "," Rp -  ,00 "," Rp -  ,00 "," Rp -  ,00 "," Rp -  ,00 "," Rp -  ,00 "," Rp -  ,00 "," Rp -  ,00 "," Rp -  ,00 "," Rp -  ,00 "," Rp -  ,00 "," Rp -  ,00 "," Rp -  ,00 "," Rp -  ,00 "," Rp -  ,00 "," Rp -  ,00 "
"EPS 2016","1","289,40","878,42","452,09","90,34","837,61","15,73","0,00","171,03","32,07","2,70","298,25","3.468,14","143,09","143,09","68,79","72,60","0,00","1.063,19","0,00","611,84","1.368,32","836,83","627,86","43,66","247,31","49,55","100,21","135,69","13,34","260,79","754,10","311,36","599,86","497,90","-10,37","2,62","75,91","1,82","35,12","234,82","1.554,09","190,35","248,42","0,00","764,56","41,94","0,00","125,30","20,87","41,17","538,55","1.226,70","0,00","105,89","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"EPS 2017","2","324,41","394,68","571,12","119,66","918,09","13,63","0,00","82,59","35,60","5,70","205,82","4.030,48","227,22","227,22","77,40","1.373,70","96,63","235,47","0,00","738,44","2.057,03","945,89","459,49","47,63","285,84","48,73","113,70","152,27","6,21","325,06","100,74","303,81","580,50","1.023,40","163,60","-20,83","54,98","2,73","35,03","239,61","3.030,29","97,10","288,51","25,52","344,43","36,88","0,00","210,84","31,96","45,54","271,64","242,46","0,00","268,46","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"EPS 2018","3","272,34","444,51","676,13","306,55","1.193,84","10,29","0,00","217,81","44,27","36,37","215,62","4.050,23","216,19","216,19","84,12","2.277,90","125,26","262,82","0,00","809,28","3.082,46","1.048,55","553,97","32,67","265,16","45,29","141,29","277,53","16,08","397,79","-23,05","399,51","565,12","1.556,94","201,22","88,16","70,30","52,80","-307,96","-383,70","3.316,15","192,13","280,52","11,01","520,27","47,90","123,84","49,04","37,17","56,91","197,00","14,80","16,75","88,43","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
